Label,Value
3072,223.421
2560,190.165
2304,481.448
3328,273.495
2816,193.598
3200,195.749
2688,409.023
2944,155.381
3136,156.609
2624,254.676
3392,153.496
2880,132.005
2240,194.133
3264,137.529
2752,226.33
2496,202.596
3008,225.624
2592,664.389
3360,218.533
2848,81.3105
3232,171.23
2720,467.706
2464,566.165
3168,406.377
2656,230.407
2400,242.901
2912,529.207
2272,64.4649
3296,132.02
2784,282.071
2528,540.002
3040,119.627
2576,168.035
2320,381.303
3344,190.782
2832,174.745
3216,177.991
2704,129.621
3152,484.055
2640,167.694
2896,139.486
2256,155.996
3280,176.281
2768,248.674
3024,261.222
3120,304.234
2608,554.031
2352,379.325
3376,155.54
2864,162.075
3248,186.623
2736,156.821
2480,213.099
3184,152.583
2416,444.122
2928,749.995
2288,212.965
3312,144.901
2800,194.143
2544,376.18
3056,369.566
3080,419.035
2568,146.804
2312,204.967
3336,185.718
3208,236.515
2440,212.564
2952,469.861
3144,239.467
2632,163.413
2376,192.54
3400,128.205
2888,107.487
2248,269.936
3272,35.1534
2760,182.743
2504,205.604
3016,199.964
3112,212.948
2600,227.51
2344,315.952
2856,207.756
3240,251.325
2472,168.406
2984,283.368
3176,270.013
2664,218.678
2408,140.384
2280,131.885
3304,106.841
2536,467.334
3048,174.642
3096,167.373
2584,62.9406
2328,321.632
3352,142.651
2840,124.329
3224,38.9638
2712,333.952
2456,114.31
2968,180.283
3160,314.753
3416,101.883
2904,278.928
2264,143.205
3288,97.1994
3032,192.175
2616,243.75
2360,242.177
3384,161.466
2872,141.519
2232,439.101
3256,153.507
2744,183.662
2488,160.654
3192,197.164
2680,260.403
2424,134.033
2296,20.9401
3320,200.076
2552,351.673
3064,299.111
3076,131.283
2564,523.108
2308,317.479
3332,143.637
2820,111.808
3204,126.65
2692,340.159
2948,237.882
3140,344.207
2628,211.492
2372,267.449
3396,213.275
2884,222.371
2244,470.86
3268,178.029
2756,259.005
2500,327.063
3012,225.892
2596,158.962
3364,115.638
2852,179.089
3236,244.496
2724,190.992
2468,440.222
2980,161.007
3172,158.603
2660,122.583
2916,467.437
3300,70.6381
2788,269.672
2532,245.222
3044,384.567
3092,229.417
2580,175.859
3348,133.946
